zone,date,sampler,sex,crab.number,missing.legs,carapace.width,carapace.length,chela.height,merus.length.2,merus.width.2,merus.length.3,merus.width.3,durometer,weight,shell.condition,chela.width,chela.length
20,1998-05-19,B. CAMPBELL,1,1,**********,95.5,93,19.7,93.9,19.4,99.3,18.9,0,245.5,1,18.4,42.6
20,1998-05-19,B. CAMPBELL,1,2,**********,88.9,88.4,16.1,81.3,18.6,83,17.2,65,256.4,3,14.6,34.3
20,1998-05-19,B. CAMPBELL,1,3,**********,86.9,85.8,15.2,77.7,17.1,83,16.4,0,227.5,1,14.4,32.9
20,1998-05-19,B. CAMPBELL,1,4,12********,80.4,81.8,13.8,74.2,16,76.3,15.3,45,158.4,2,12.2,29.1
20,1998-05-19,B. CAMPBELL,1,5,**********,81.9,82.8,13.6,69.8,16.8,72.1,16.5,66,201.4,2,11.8,27.4
20,1998-05-19,B. CAMPBELL,1,6,**********,89.5,88.3,16.5,78.8,17.1,80.3,16.5,65,262.5,2,14,33.5
20,1998-05-19,B. CAMPBELL,1,7,**********,62,63.2,10.3,53.1,12.9,57.9,12.1,36,89.3,1,8.7,21.2
20,1998-05-19,B. CAMPBELL,1,8,***1******,87.38,87.931,15.85,75.431,17.49,78.571,17.42,73,204.8,3,14.22,33.1
20,1998-05-19,B. CAMPBELL,1,9,**********,66.04,65.541,11.68,56.201,13.32,58.061,12.99,0,101.4,1,9.03,21.3
20,1998-05-19,B. CAMPBELL,1,10,2*********,66.88,66.701,11.2,57.081,13.3,60.121,13.04,0,94.6,1,8.82,22.1
20,1998-05-19,B. CAMPBELL,1,11,***2******,66.24,65.641,11.3,60.591,12.96,61.991,12.37,0,85.5,1,9.53,23.5
20,1998-05-19,B. CAMPBELL,1,12,**********,95.45,95.631,17.34,83.051,18.65,83.521,17.7,62,303.2,2,14.82,37
20,1998-05-19,B. CAMPBELL,1,13,13********,77.3,76.691,12.84,66.631,15.5,67.761,14.9,66,163.6,2,11.61,27.4
20,1998-05-19,B. CAMPBELL,1,14,****3*****,92.15,88.801,16.15,79.351,17.76,80.901,16.98,22,232.4,1,14.48,35.5
20,1998-05-19,B. CAMPBELL,1,15,**2*2**3**,61.62,61.821,10.06,51.491,12.86,,0,0,74.5,1,8.16,20
20,1998-05-19,B. CAMPBELL,1,16,**********,69.01,68.151,11.93,55.621,13.52,57.751,12.95,0,109.5,1,10.16,22.9
20,1998-05-19,B. CAMPBELL,1,17,**********,66.86,67.231,11.08,56.091,12.59,58.701,12.39,0,106.8,1,9.71,23.1
20,1998-05-19,B. CAMPBELL,1,18,***3******,64.9,65.331,10.97,56.601,12.35,58.201,11.87,0,86.8,1,9.31,21.9
20,1998-05-19,B. CAMPBELL,1,19,**********,67.57,68.531,11.75,57.211,13.85,59.251,13.22,0,110.7,1,10.14,24
20,1998-05-19,B. CAMPBELL,1,20,**********,67.92,66.971,11.52,55.961,13.34,57.971,12.72,31,102.2,1,9.92,23.2
20,1998-05-19,B. CAMPBELL,1,21,******2***,77.69,77.051,13.2,64.461,16.14,67.491,15.32,0,153.1,1,11.92,27.2
20,1998-05-19,B. CAMPBELL,1,22,**********,78.16,78.301,13.1,66.251,15.65,68.261,15,57,183,2,11.62,28.2
20,1998-05-19,B. CAMPBELL,1,23,**********,76.93,76.231,15.34,64.751,13.67,68.931,11.88,65,176.5,2,14.92,28.5
20,1998-05-19,B. CAMPBELL,1,24,**********,61.95,62.59,9.67,52.081,12.48,54.861,11.87,0,92.6,1,8.09,19.9
20,1998-05-19,B. CAMPBELL,1,25,*1********,64.65,65.331,10.92,55.871,12.6,57.911,12.33,0,88.4,1,9.2,21.7
20,1998-05-19,B. CAMPBELL,1,26,**********,63.88,63.811,10.89,51.351,12.96,53.061,12.67,0,100.2,1,8.72,20.7
20,1998-05-19,B. CAMPBELL,1,27,**********,76.33,75.401,12.84,67.011,15.01,69.311,14.28,63,158.8,2,10.89,27.3
20,1998-05-19,B. CAMPBELL,1,28,**32******,88.89,88.561,15.51,80.701,17.58,82.841,16.61,0,241,1,13.76,34.6
20,1998-05-19,B. CAMPBELL,1,29,****1*1***,69.16,69.351,14.44,67.721,14.48,68.941,13.91,59,127.7,4,13.49,29.3
20,1998-05-19,B. CAMPBELL,1,30,***33*****,103.52,103.022,26.17,99.952,21.24,100.422,20.46,91,440.8,3,23.72,50
20,1998-05-19,B. CAMPBELL,1,31,**********,91.68,89.712,20.46,90.291,17.65,93.921,17.11,87,312.5,3,19.01,41.8
20,1998-05-19,B. CAMPBELL,1,32,**********,111.81,111.182,23.66,108.862,22.73,111.222,21.45,77,587.2,4,21.76,52.7
20,1998-05-19,B. CAMPBELL,1,33,**********,87.54,86.241,18.79,90.311,18.4,91.241,17.71,71,284.9,3,17.71,39.4
20,1998-05-19,B. CAMPBELL,1,34,**********,96.49,94.132,22.25,99.651,19.53,100.541,18.79,78,376,3,20.72,46.1
20,1998-05-19,B. CAMPBELL,1,35,*******1**,92.96,92.342,20.02,96.382,20.03,97.611,19.06,83,309.8,3,18.07,42.7
20,1998-05-19,B. CAMPBELL,1,36,**********,76.58,76.581,16.14,73.141,15.78,73.781,14.99,83,190.3,3,14.5,33.3
20,1998-05-19,B. CAMPBELL,1,37,**********,75.98,74.341,17.25,83.351,16.13,84.791,15.25,63,197.7,4,15.38,35.7
20,1998-05-19,B. CAMPBELL,1,38,**********,126.76,125.233,33.02,123.812,26.13,124.182,25.26,85,850,3,29.97,63.9
20,1998-05-19,B. CAMPBELL,1,39,**********,72.49,70.181,15.88,72.351,15.03,73.421,14.54,59,164.8,4,13.95,31.7
20,1998-05-19,B. CAMPBELL,1,40,**********,90.1,88.462,20.01,91.831,18.8,92.821,17.96,86,326.2,3,18.01,43.4
20,1998-05-19,B. CAMPBELL,1,41,*****1****,110.46,110.202,24.26,110.42,1.89,110.282,21,85,526.2,3,23.07,53.1
20,1998-05-19,B. CAMPBELL,1,42,***1******,70.25,68.101,14.61,71.491,14.1,72.101,13.65,66,129.3,4,13.16,30.6
20,1998-05-19,B. CAMPBELL,1,43,**********,74.77,74.541,16.18,78.591,15.21,79.631,14.54,62,167.2,4,14.46,32.9
20,1998-05-19,B. CAMPBELL,1,44,******1***,87.84,84.651,19.63,90.391,17.28,90.861,16.74,79,275,4,17.96,39.9
20,1998-05-19,B. CAMPBELL,1,45,**********,71.33,70.831,15.03,75.461,14.76,77.101,14.13,64,149.6,3,13.43,30.1
20,1998-05-19,B. CAMPBELL,1,46,*****211**,60.33,60.751,10.61,59.331,12.14,60.561,12,59,81.1,4,9.66,23.2
20,1998-05-19,B. CAMPBELL,1,47,**********,124.94,118.132,27.99,122.402,25.42,122.702,23.44,94,719.6,3,26.74,61.7
20,1998-05-19,B. CAMPBELL,1,48,******2***,69.39,67.931,15.19,70.511,14.37,71.171,13.8,73,146,4,13.64,29.5
20,1998-05-19,B. CAMPBELL,1,49,*111******,91.72,91.662,20.93,92.261,18.78,97.341,18.47,74,280.8,3,20.04,42.7
20,1998-05-19,B. CAMPBELL,1,50,********1*,132.5,129.173,36.43,147.702,28.71,145.232,26.86,89,997.2,3,33.08,71.4
20,1998-05-19,B. CAMPBELL,1,51,**11******,77.58,76.721,15.7,76.341,16.42,76.621,15.97,59,169.4,3,14.86,35.1
20,1998-05-19,B. CAMPBELL,1,52,*****1****,117.86,114.312,29.82,114.892,22.36,115.252,21.61,80,624.7,3,27.48,57.9
20,1998-05-19,B. CAMPBELL,1,53,****1*****,119.75,117.193,30.64,113.242,24.02,114.832,22.81,84,752.1,3,28.87,61.9
20,1998-05-19,B. CAMPBELL,1,54,***1******,116.99,113.463,30.61,117.252,24.95,116.062,23.46,94,691.3,3,28.24,57.2
20,1998-05-19,B. CAMPBELL,1,55,**********,85.07,83.271,19.35,89.451,17.46,90.981,16.91,81,270.9,3,17.97,40.3
20,1998-05-19,B. CAMPBELL,1,56,**********,90.95,88.612,20.6,91.971,18.92,93.721,17.76,79,330.3,4,19.43,42.5
20,1998-05-19,B. CAMPBELL,1,57,**3**1****,119.44,115.232,29.73,118.032,23.06,117.152,22.13,87,564.5,3,27.41,60.2
20,1998-05-19,B. CAMPBELL,1,58,1*********,74.98,76.461,16.26,69.111,15.62,72.891,15.21,75,172.3,3,14.79,33.4
20,1998-05-19,B. CAMPBELL,1,59,**********,103.58,103.342,23.19,101.382,21.78,101.852,20.49,70,468.9,4,21.52,50.5
20,1998-05-19,B. CAMPBELL,1,60,********11,82.06,80.851,18.01,80.751,17.39,82.321,16.59,73,224.6,3,16.63,37.6
